date,current_capital,unclaimed_fees,projected_fees,reinvest_cost,p_value,day_projection
2022-05-05,1000000.0,3630.1871549075563,0.3005988843059316,132.1351418692625,0.02,7
2022-05-06,1000000.0,3727.1433953262667,0.3095345311489461,104.00224593871188,0.02,7
2022-05-07,1000000.0,3752.285886912277,0.3127603199095684,64.92416876818058,0.02,7
2022-05-08,1000000.0,3790.730273924024,0.3163007779007433,51.99353618040095,0.02,7
2022-05-09,1000000.0,4140.395149479015,0.34633327610048,103.97458898552354,0.02,7
2022-05-10,1000000.0,4347.014321354057,0.3615623564134495,100.89489280027894,0.02,7
2022-05-11,1000000.0,6099.73582988954,0.5083449348285477,215.01576326008876,0.02,7
2022-05-12,1000000.0,10420.818000001502,0.8622387525956178,293.2341676820873,0.02,7
2022-05-13,1000000.0,12538.956338139444,0.885710841394231,113.68175633713697,0.02,7
2022-05-14,1000000.0,12617.592870573673,0.9245685243591462,58.835798850945096,0.02,7
2022-05-15,1000000.0,12678.025141391594,0.928104549731196,41.97431637925686,0.02,7
2022-05-16,1000000.0,12698.435271593584,0.9285664405866705,40.80355425607304,0.02,7
2022-05-17,1000000.0,12719.488369534796,0.9290180552891733,55.364809192531766,0.02,7
2022-05-18,1000000.0,12916.440954709951,0.942322414030798,41.221302519868125,0.02,7
2022-05-19,1000000.0,13236.375667975477,0.9658420105697221,43.06193004810378,0.02,7
2022-05-20,1000000.0,13311.977429756227,0.9737252601715053,44.95603092429128,0.02,7
2022-05-21,1000000.0,13330.983798522471,0.9741826324184872,36.27405698318047,0.02,7
2022-05-22,1000000.0,13351.52580331304,0.9745838077538842,36.69958342018383,0.02,7
2022-05-23,1000000.0,13499.380096140914,0.984239186202144,40.8063294887612,0.02,7
2022-05-24,1000000.0,13532.314006953695,0.9862644248656571,45.663684322056135,0.02,7
2022-05-25,1000000.0,13541.738899534632,0.9858598137122317,52.367422967827224,0.02,7
2022-05-26,1000000.0,13782.548484984769,1.0023065507898383,64.45524394219333,0.02,7
2022-05-27,1000000.0,13854.260647012192,1.0083910763224504,55.07193208048047,0.02,7
2022-05-28,1000000.0,13890.793206703655,1.0101136304859129,29.61326697063819,0.02,7
2022-05-29,1000000.0,13916.78778743019,1.010890462675857,30.673658951224997,0.02,7
2022-05-30,1000000.0,14051.539274077768,1.0196208217308393,53.1139905645765,0.02,7
2022-05-31,1000000.0,14124.009481642734,1.0243523055734338,76.87291288202715,0.02,7
2022-06-01,1000000.0,14464.715317098644,1.0480896024061102,76.42509133158413,0.02,7
2022-06-02,1000000.0,14511.655870490436,1.0087504509875869,83.07490950826536,0.02,7
2022-06-03,1000000.0,14559.107193343865,1.013033286727448,80.23828905397569,0.02,7
2022-06-04,1000000.0,14589.024874669112,1.016119134389947,79.54601313944302,0.02,7
2022-06-05,1000000.0,14598.33838209624,1.017541743986388,75.06040106654885,0.02,7
2022-06-06,1000000.0,14615.799259652502,0.9980609730394996,74.88093323039347,0.02,7
2022-06-07,1000000.0,14836.359648145592,1.0133693852185532,78.6074559646491,0.02,7
2022-06-08,1000000.0,15056.946118649877,1.0307121568269886,94.80406714683437,0.02,7
2022-06-09,1000000.0,15069.453130373915,1.0338263819469085,95.28397832564514,0.02,7
2022-06-10,1000000.0,15291.502592468458,1.0492278537429536,68.83533529234795,0.02,7
2022-06-11,1000000.0,15349.779573373557,1.055513753362285,44.39839407743037,0.02,7
2022-06-12,1000000.0,15425.51546315077,1.061425329454586,38.889356908647166,0.02,7
2022-06-13,1000000.0,15768.750102071277,1.085954853490731,81.1824743077219,0.02,7
2022-06-14,1000000.0,16525.97376051945,1.1414880439524815,56.508575588124664,0.02,7
2022-06-15,1000000.0,17008.920165290318,1.1813165275300217,62.5703232282329,0.02,7
2022-06-16,1000000.0,17235.33447792996,1.2022343683144905,33.7931124472312,0.02,7
2022-06-17,1000000.0,17276.057202267064,1.2076555885174145,34.69470062775187,0.02,7
2022-06-18,1000000.0,17361.90017169707,1.2141085506606688,38.90851703316365,0.02,7
2022-06-19,1000000.0,17436.250798362937,1.220286572594328,25.796356143861303,0.02,7
2022-06-20,1000000.0,17462.90032114878,1.2229904019783653,24.779403920016648,0.02,7
2022-06-21,1000000.0,17581.900500625186,1.2316031163464864,34.25354842359758,0.02,7
2022-06-22,1000000.0,17856.150038688225,1.2521833695253712,29.172887840226608,0.02,7
2022-06-23,1000000.0,18007.432265750333,1.2659138305808266,44.30435237770052,0.02,7
2022-06-24,1000000.0,18081.092568903714,1.2728165116394536,40.84278766880147,0.02,7
2022-06-25,1000000.0,18097.65056105917,1.2748016706589695,33.971964191524044,0.02,7
2022-06-26,1000000.0,18119.563231049146,1.2764949514676356,33.974530938000726,0.02,7
2022-06-27,1000000.0,18140.50191686883,1.2781837460260304,45.16028134743702,0.02,7
2022-06-28,1000000.0,18197.279583077772,1.2823880703170432,40.35987461475858,0.02,7
2022-06-29,1000000.0,18246.977833399134,1.2865168876601354,48.74285912934784,0.02,7
2022-06-30,1000000.0,18362.294544193006,1.2951945554063014,42.364653458559694,0.02,7
2022-07-01,1000000.0,18434.860307439216,1.3016232367541338,26.373535456080376,0.02,7
2022-07-02,1000000.0,18472.424137094262,1.30509058301139,14.465389390307037,0.02,7
2022-07-03,1000000.0,18482.42369392822,1.306203861097563,15.924467183734954,0.02,7
2022-07-04,1000000.0,18497.017664683135,1.3020701650298556,21.6451021506398,0.02,7
2022-07-05,1000000.0,18612.178131230026,1.3102309282877915,26.26221075959775,0.02,7
2022-07-06,1000000.0,18728.211187108882,1.3195848382992528,28.263068163605123,0.02,7
2022-07-07,1000000.0,18936.879868411343,1.3354889579459925,35.30961790653983,0.02,7
2022-07-08,1000000.0,19163.598940772557,1.3537683358604773,25.71933922167783,0.02,7
2022-07-09,1000000.0,19199.373768686128,1.3587840209125053,25.135947600527356,0.02,7
2022-07-10,1000000.0,19248.517609333936,1.3625456494301016,17.20853294512878,0.02,7
2022-07-11,1000000.0,19283.821063261697,1.3654786312585934,24.797602166953286,0.02,7
2022-07-12,1000000.0,19379.86816039376,1.3725618907207084,20.166509423529682,0.02,7
2022-07-13,1000000.0,19597.369963113502,1.3889413433491473,26.810903753630498,0.02,7
2022-07-14,1000000.0,19810.999687230033,1.4064846195199012,30.680823759336004,0.02,7
2022-07-15,1000000.0,20063.6044695379,1.4267843897289043,29.965669494079375,0.02,7
2022-07-16,1000000.0,20116.717111046422,1.433384183318595,24.720255294372535,0.02,7
2022-07-17,1000000.0,20160.231938714933,1.4369614895551364,23.33848948488526,0.02,7
2022-07-18,1000000.0,20310.168220866282,1.4480216686212397,38.88575358856753,0.02,7
2022-07-19,1000000.0,20415.146127956985,1.4571065114594215,38.419795299599166,0.02,7
2022-07-20,1000000.0,20530.174349027533,1.46639493562524,36.349807430153604,0.02,7
2022-07-21,1000000.0,20719.81026616427,1.481141656557511,26.989167486717452,0.02,7
2022-07-22,1000000.0,20809.238989685273,1.4896110703982763,20.527152147136942,0.02,7
2022-07-23,1000000.0,20885.084307592668,1.4959434340592253,17.12068800461122,0.02,7
2022-07-24,1000000.0,20953.146410326306,1.5015682908499444,15.31012365876175,0.02,7
2022-07-25,1000000.0,21059.160478687387,1.5098306262280028,23.958047890201698,0.02,7
2022-07-26,1000000.0,21169.746195726384,1.518864557031215,28.04265284966611,0.02,7
2022-07-27,1000000.0,21532.788381537088,1.5460870948002827,26.993568284222583,0.02,7
2022-07-28,1000000.0,21654.372332253635,1.5590444917123416,32.60019698622674,0.02,7
2022-07-29,1000000.0,21814.729141958313,1.5718808286717258,23.398631737976043,0.02,7
2022-07-30,1000000.0,21865.480890591985,1.5772841540145646,14.5843429914518,0.02,7
2022-07-31,1000000.0,21911.74731104397,1.5810898966268137,13.559631022751548,0.02,7
2022-08-01,1000000.0,21978.35732739491,1.5863167527458615,26.910397679350528,0.02,7
2022-08-02,1000000.0,22093.89000066096,1.595315423218444,19.918627939439574,0.02,7
2022-08-03,1000000.0,22169.710251578148,1.6020222570856795,17.812558464990463,0.02,7
2022-08-04,1000000.0,22229.36582788039,1.6071058524158897,19.250142008948227,0.02,7
2022-08-05,1000000.0,22309.538962474555,1.6134921502480142,20.832136783663366,0.02,7
2022-08-06,1000000.0,22352.308449064603,1.6174163471345626,13.951059585182719,0.02,7
2022-08-07,1000000.0,22366.350715780867,1.618834407831474,14.827987392058827,0.02,7
2022-08-08,1000000.0,22439.043734219253,1.6241703577219266,25.984379915576774,0.02,7
2022-08-09,1000000.0,22494.104075305273,1.6289129899726673,26.741181080126996,0.02,7
2022-08-10,1000000.0,22613.954846586214,1.6381503207543489,42.54548560734973,0.02,7
2022-08-11,1000000.0,22651.781113840105,1.6422031942885194,35.48551061131959,0.02,7
2022-08-12,1000000.0,22706.142077213655,1.6465098015765653,28.43673809654353,0.02,7
2022-08-13,1000000.0,22770.039779222257,1.651705558577494,18.658077652745998,0.02,7
2022-08-14,1000000.0,22809.469663536987,1.6552434546464578,19.430985615034086,0.02,7
2022-08-15,1000000.0,22888.205351316316,1.661354890638616,33.88592778755554,0.02,7
2022-08-16,1000000.0,22929.42185472821,1.6652065525281476,20.3859370602857,0.02,7
2022-08-17,1000000.0,22986.54129307433,1.6697824104477144,20.33911711775405,0.02,7
2022-08-18,1000000.0,23034.67874212123,1.6738980077178782,20.07423973094449,0.02,7
2022-08-19,1000000.0,23143.748861229808,1.6823437359381848,24.070811743839226,0.02,7
2022-08-20,1000000.0,23233.2936597262,1.6900878609677648,15.789645793509786,0.02,7
2022-08-21,1000000.0,23282.165776613238,1.6946556413018263,12.209380820521627,0.02,7
